2023-04-02 00:07:05,718 INFO [root] [base_page.py | base_find:18] - 正在定位元素[xpath://a[text()='商城']]
2023-04-02 00:07:06,207 INFO [root] [base_page.py | base_click:42] - 正在点击[css selector:.ico-shop-1]元素
2023-04-02 00:07:06,207 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:.ico-shop-1]
2023-04-02 00:07:06,408 INFO [root] [page_shop.py | page_search_order:44] - 正在执行TPshop后台系统，订单查询测试用例！
2023-04-02 00:07:06,408 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:#workspace]
2023-04-02 00:07:06,419 INFO [root] [base_page.py | base_iframe_switch_to:52] - 正在切换到：<selenium.webdriver.remote.webelement.WebElement (session="212563f2613a7646441b5ca63ecefc4a", element="d2b1c921-e467-4d36-8106-f92a06c11e22")> iframe表单
2023-04-02 00:07:06,437 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[placeholder='下单开始时间']]
2023-04-02 00:07:06,448 INFO [root] [base_page.py | base_input:36] - 正在对[css selector:[placeholder='下单开始时间']]输入框进行清空
2023-04-02 00:07:06,475 INFO [root] [base_page.py | base_input:38] - 正在对[css selector:[placeholder='下单开始时间']]输入框输入内容：2010-01-01 00:00:00
2023-04-02 00:07:06,563 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[placeholder='下单结束时间']]
2023-04-02 00:07:06,574 INFO [root] [base_page.py | base_input:36] - 正在对[css selector:[placeholder='下单结束时间']]输入框进行清空
2023-04-02 00:07:06,600 INFO [root] [base_page.py | base_input:38] - 正在对[css selector:[placeholder='下单结束时间']]输入框输入内容：2023-04-04 00:00:00
2023-04-02 00:07:06,668 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:pay_status]
2023-04-02 00:07:06,699 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:1
2023-04-02 00:07:06,765 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:pay_code]
2023-04-02 00:07:06,781 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:1
2023-04-02 00:07:06,836 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:shipping_status]
2023-04-02 00:07:06,852 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:2
2023-04-02 00:07:06,916 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:order_status]
2023-04-02 00:07:06,932 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:3
2023-04-02 00:07:07,001 INFO [root] [base_page.py | base_click:42] - 正在点击[css selector:[value='搜索']]元素
2023-04-02 00:07:07,001 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[value='搜索']]
2023-04-02 00:07:08,074 INFO [root] [base_page.py | base_iframe_default:56] - 返回到默认表单!
2023-04-02 00:07:08,077 INFO [root] [page_shop.py | page_search_order:44] - 正在执行TPshop后台系统，订单查询测试用例！
2023-04-02 00:07:08,077 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:#workspace]
2023-04-02 00:07:08,084 INFO [root] [base_page.py | base_iframe_switch_to:52] - 正在切换到：<selenium.webdriver.remote.webelement.WebElement (session="212563f2613a7646441b5ca63ecefc4a", element="d2b1c921-e467-4d36-8106-f92a06c11e22")> iframe表单
2023-04-02 00:07:08,097 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[placeholder='下单开始时间']]
2023-04-02 00:07:08,104 INFO [root] [base_page.py | base_input:36] - 正在对[css selector:[placeholder='下单开始时间']]输入框进行清空
2023-04-02 00:07:08,128 INFO [root] [base_page.py | base_input:38] - 正在对[css selector:[placeholder='下单开始时间']]输入框输入内容：2012-02-01 00:00:00
2023-04-02 00:07:08,206 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[placeholder='下单结束时间']]
2023-04-02 00:07:08,214 INFO [root] [base_page.py | base_input:36] - 正在对[css selector:[placeholder='下单结束时间']]输入框进行清空
2023-04-02 00:07:08,240 INFO [root] [base_page.py | base_input:38] - 正在对[css selector:[placeholder='下单结束时间']]输入框输入内容：2023-04-04 00:00:00
2023-04-02 00:07:08,320 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:pay_status]
2023-04-02 00:07:08,335 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:1
2023-04-02 00:07:08,365 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:pay_code]
2023-04-02 00:07:08,380 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:1
2023-04-02 00:07:08,410 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:shipping_status]
2023-04-02 00:07:08,425 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:1
2023-04-02 00:07:08,493 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:order_status]
2023-04-02 00:07:08,510 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:1
2023-04-02 00:07:08,579 INFO [root] [base_page.py | base_click:42] - 正在点击[css selector:[value='搜索']]元素
2023-04-02 00:07:08,579 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[value='搜索']]
2023-04-02 00:07:09,657 INFO [root] [base_page.py | base_iframe_default:56] - 返回到默认表单!
2023-04-02 00:07:09,660 INFO [root] [page_shop.py | page_search_order:44] - 正在执行TPshop后台系统，订单查询测试用例！
2023-04-02 00:07:09,660 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:#workspace]
2023-04-02 00:07:09,669 INFO [root] [base_page.py | base_iframe_switch_to:52] - 正在切换到：<selenium.webdriver.remote.webelement.WebElement (session="212563f2613a7646441b5ca63ecefc4a", element="d2b1c921-e467-4d36-8106-f92a06c11e22")> iframe表单
2023-04-02 00:07:09,684 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[placeholder='下单开始时间']]
